Date,Domain,SiteTime
4/27/2015,bing.com,8
4/27/2015,linkedin.com,381
4/27/2015,live.com,94
4/27/2015,mail.google.com,315
4/27/2015,support.google.com,9
4/27/2015,youtube.com,48
4/28/2015,9lenses.com,102
4/28/2015,accounts.google.com,50
4/28/2015,aljazeera.net,112
4/28/2015,appengine.google.com,10
4/28/2015,appspot.com,81
4/28/2015,assabeel.net,153
4/28/2015,att.com,603
4/28/2015,azure.microsoft.com,272
4/28/2015,azureml.net,403
4/28/2015,bing.com,883
4/28/2015,careerbliss.com,28
4/28/2015,cloud.google.com,153
4/28/2015,code.google.com,73
4/28/2015,codeskulptor.org,77
4/28/2015,console.developers.google.com,604
4/28/2015,coursera.org,346
4/28/2015,datasciencecentral.com,846
4/28/2015,developers.google.com,1056
4/28/2015,egyptwindow.net,111
4/28/2015,ethz.ch,8
4/28/2015,forbes.com,311
4/28/2015,glassdoor.com,101
4/28/2015,google.com,119
4/28/2015,icims.com,25
4/28/2015,idiotechie.com,353
4/28/2015,linkedin.com,1298
4/28/2015,live.com,1820
4/28/2015,mail.google.com,652
4/28/2015,myaccount.google.com,114
4/28/2015,oreilly.com,13
4/28/2015,org.uk,64
4/28/2015,palinfo.com,148
4/28/2015,pmstudycircle.com,2758
4/28/2015,psu.edu,26
4/28/2015,python.org,445
4/28/2015,r-bloggers.com,94
4/28/2015,research.microsoft.com,11
4/28/2015,rstudio.com,159
4/28/2015,security.google.com,81
4/28/2015,signupgenius.com,121
4/28/2015,tatvic.com,669
4/28/2015,tech.co,51
4/28/2015,wikipedia.org,566
4/28/2015,windows.net,2
4/28/2015,wp.com,15
4/28/2015,yahoo.com,130
4/28/2015,youtube.com,2922
5/2/2015,live.com,29
5/2/2015,yahoo.com,19
5/3/2015,accounts.google.com,21
5/3/2015,appspot.com,379
5/3/2015,bbc.com,19
5/3/2015,bigquery.cloud.google.com,35
5/3/2015,bing.com,145
5/3/2015,console.developers.google.com,196
5/3/2015,developers.google.com,564
5/3/2015,docs.google.com,26
5/3/2015,groupme.com,176
5/3/2015,live.com,253
5/3/2015,mail.google.com,77
5/3/2015,youtube.com,7
5/11/2015,agileload.com,52
5/11/2015,answers.com,76
5/11/2015,azure.microsoft.com,141
5/11/2015,bing.com,727
5/11/2015,blogspot.com,8
5/11/2015,codeplex.com,23
5/11/2015,coursera.org,450
5/11/2015,facebook.com,44
5/11/2015,go.microsoft.com,3
5/11/2015,linkedin.com,251
5/11/2015,live.com,1697
5/11/2015,mail.google.com,392
5/11/2015,microsoft.com,197
5/11/2015,mindlance.com,31
5/11/2015,msdn.com,86
5/11/2015,msdn.microsoft.com,688
5/11/2015,nakedalm.com,212
5/11/2015,slideshare.net,223
5/11/2015,social.msdn.microsoft.com,62
5/11/2015,sql-tutorial.net,553
